time,Jan,Feb,Mar,Apr,May,Jun
1,31995,34985,43334,47243,35814,39793
2,31875,37256,42083,46204,39088,39606
3,30802,37325,46298,43642,38717,41152
4,33061,38111,49118,50706,42965,42485
5,36694,36695,48731,50738,38489,40947
6,43117,39967,44338,45787,35802,40289
7,48462,40247,43391,42684,34549,41129
8,56781,39197,41083,42110,34305,43433
9,71604,40530,43294,43013,33049,42610
10,78401,42416,42607,41228,34550,43900
11,36842,44931,49693,41615,36039,42488
12,38200,46200,47820,37975,39755,40764
13,37915,39501,46171,39703,42386,41142
14,35749,36994,40705,43724,39512,45637
15,33612,37989,38647,45033,38202,47717
16,34198,39803,37660,46954,39935,49449
17,33514,42676,39506,40846,43894,51682
18,33898,49695,38368,45223,41600,52593
19,32413,43097,38041,39985,44329,53226
20,29283,40939,33452,41325,43718,47556
21,23547,40153,31280,38896,44967,47826
22,36477,42012,47119,40005,44053,49665
23,39522,42148,44689,38940,43749,52128
24,42098,43345,45414,36997,41938,53240
25,41503,44182,48197,37231,42400,50100
26,43250,43879,46038,35929,47228,46815
27,44058,39782,41406,36960,55078,45984
28,40687,41865,42460,39301,48656,45765
29,38089,41865,43656,37241,45235,44478
30,35852,41865,42837,37150,42014,45894
